frame,t_sec,face_idx,x1,y1,x2,y2,label,score,yaw_raw_deg,pitch_raw_deg,yaw_smooth_deg,pitch_smooth_deg,focused,alert,distracted_for_sec
16,0.640,1,1336,642,1382,682,43f196cb,0.9065,49.12,-14.53,47.10,-13.30,0,1,1.590
16,0.640,2,25,591,87,645,UNKNOWN,0.2840,-8.81,-16.19,-8.80,-19.20,0,0,0.573
17,0.680,0,1002,572,1050,612,AVA,0.9666,56.41,-2.58,56.80,-0.40,0,1,1.686
17,0.680,1,1336,642,1381,682,43f196cb,0.9098,46.90,-16.38,47.10,-14.40,0,1,1.686
17,0.680,2,25,591,87,645,UNKNOWN,0.2742,-6.99,-15.80,-8.10,-18.00,0,0,0.669
18,0.720,0,1002,572,1049,611,AVA,0.9536,58.00,1.26,57.20,0.20,0,1,1.778
18,0.720,1,1336,642,1381,682,43f196cb,0.9030,47.90,-16.11,47.30,-15.00,0,1,1.778
18,0.720,2,25,591,87,645,UNKNOWN,0.2927,-6.95,-15.99,-7.70,-17.30,1,0,0.000
19,0.760,0,1002,571,1049,612,AVA,0.9538,58.09,-2.66,57.50,-0.80,0,1,1.877
19,0.760,1,1336,642,1381,682,43f196cb,0.9014,46.64,-15.97,47.10,-15.30,0,1,1.877
19,0.760,2,25,591,87,645,UNKNOWN,0.2887,-5.70,-15.84,-7.00,-16.80,1,0,0.000
20,0.800,0,1003,572,1049,611,AVA,0.9500,57.14,1.83,57.40,0.10,0,1,1.972
20,0.800,1,1336,642,1381,682,43f196cb,0.8872,48.97,-16.69,47.80,-15.80,0,1,1.972
20,0.800,2,25,591,87,645,UNKNOWN,0.2993,-5.96,-17.68,-6.60,-17.10,1,0,0.000
21,0.840,0,1002,571,1049,611,AVA,0.9480,59.09,-0.75,58.00,-0.20,0,1,2.067
21,0.840,1,1336,642,1381,682,43f196cb,0.8888,48.01,-16.33,47.80,-16.00,0,1,2.067
21,0.840,2,25,591,87,645,UNKNOWN,0.2988,-4.54,-18.27,-5.90,-17.50,1,0,0.000
22,0.880,0,1002,571,1050,611,AVA,0.9502,57.46,5.76,57.80,1.90,0,1,2.161
22,0.880,1,1336,642,1381,682,43f196cb,0.8967,47.72,-16.52,47.80,-16.20,0,1,2.161
22,0.880,2,26,591,88,645,UNKNOWN,0.3102,0.66,-16.39,-3.60,-17.10,1,0,0.000
23,0.920,0,1003,571,1049,611,AVA,0.9421,58.69,4.42,58.10,2.80,0,1,2.254
23,0.920,1,1336,642,1381,682,43f196cb,0.8917,48.45,-17.53,48.00,-16.60,0,1,2.254
23,0.920,2,26,591,88,645,UNKNOWN,0.3336,1.60,-15.50,-1.80,-16.50,1,0,0.000
24,0.960,0,1002,571,1050,611,AVA,0.9580,55.07,1.52,57.00,2.30,0,1,2.350
24,0.960,1,1336,642,1381,682,43f196cb,0.8867,51.28,-18.04,49.20,-17.10,0,1,2.350
24,0.960,2,26,591,88,645,UNKNOWN,0.3096,-1.42,-16.94,-1.70,-16.70,1,0,0.000
25,1.000,0,1003,571,1049,610,AVA,0.9311,55.86,4.09,56.60,3.00,0,1,2.450
25,1.000,1,1336,642,1381,682,43f196cb,0.8794,50.06,-17.23,49.50,-17.20,0,1,2.450
25,1.000,2,26,591,88,645,UNKNOWN,0.3083,-0.19,-18.81,-1.10,-17.40,1,0,0.000
26,1.040,0,1002,571,1050,611,AVA,0.9310,54.35,3.79,55.80,3.20,0,1,2.545
26,1.040,1,1336,642,1381,682,43f196cb,0.8918,51.42,-15.76,50.20,-16.70,0,1,2.545
26,1.040,2,25,591,87,645,UNKNOWN,0.2686,-7.58,-18.91,-3.40,-17.90,1,0,0.000
27,1.080,0,1002,571,1050,611,AVA,0.9331,55.63,4.75,55.80,3.80,0,1,2.640
27,1.080,1,1336,642,1382,682,43f196cb,0.8962,52.00,-16.52,50.80,-16.60,0,1,2.640
27,1.080,2,25,591,87,645,UNKNOWN,0.2609,-8.06,-16.00,-5.00,-17.30,1,0,0.000
28,1.120,0,1002,570,1051,611,AVA,0.9515,55.02,6.51,55.50,4.70,0,1,2.733
28,1.120,1,1336,642,1382,682,43f196cb,0.8916,49.84,-15.00,50.50,-16.10,0,1,2.733
28,1.120,2,25,591,87,645,UNKNOWN,0.2835,-9.68,-17.57,-6.70,-17.40,1,0,0.000
29,1.160,0,1002,570,1051,611,AVA,0.9241,54.49,8.25,55.10,6.00,0,1,2.825
29,1.160,1,1336,642,1381,682,43f196cb,0.8963,54.43,-12.72,51.90,-14.90,0,1,2.825
29,1.160,2,25,591,87,645,UNKNOWN,0.2816,-9.35,-17.23,-7.60,-17.30,1,0,0.000
30,1.200,0,1003,570,1051,611,AVA,0.9234,54.49,7.50,54.90,6.50,0,1,2.920
30,1.200,1,1336,642,1382,682,43f196cb,0.8915,52.09,-15.36,51.90,-15.10,0,1,2.920
30,1.200,2,25,591,87,645,UNKNOWN,0.2656,-9.12,-16.78,-8.10,-17.10,1,0,0.000
31,1.240,0,1003,570,1051,611,AVA,0.9001,54.83,5.65,54.90,6.20,0,1,3.012
31,1.240,1,1336,642,1382,682,43f196cb,0.8912,52.62,-17.02,52.20,-15.70,0,1,3.012
31,1.240,2,25,591,87,645,UNKNOWN,0.2679,-8.81,-16.17,-8.40,-16.80,1,0,0.000
32,1.280,0,1002,570,1053,611,AVA,0.9131,51.77,9.44,53.80,7.30,0,1,3.107
32,1.280,1,1336,642,1382,682,43f196cb,0.8980,54.70,-17.36,53.10,-16.30,0,1,3.107
32,1.280,2,25,591,87,645,UNKNOWN,0.2607,-8.33,-16.20,-8.40,-16.60,1,0,0.000
33,1.320,0,1003,570,1053,611,AVA,0.9634,54.38,-1.62,54.00,4.20,0,1,3.203
33,1.320,1,1336,642,1382,682,43f196cb,0.9064,54.74,-16.71,53.60,-16.40,0,1,3.203
33,1.320,2,25,591,87,645,UNKNOWN,0.2640,-8.69,-17.06,-8.50,-16.80,1,0,0.000
34,1.360,0,1003,571,1054,611,AVA,0.9681,54.68,1.47,54.20,3.20,0,1,3.294
34,1.360,1,1336,642,1382,682,43f196cb,0.9110,56.33,-16.34,54.60,-16.40,0,1,3.294
34,1.360,2,26,591,88,645,UNKNOWN,0.3171,-8.32,-16.13,-8.40,-16.50,1,0,0.000
35,1.400,0,1003,570,1054,611,AVA,0.9814,51.45,-0.48,53.30,1.90,0,1,3.389
35,1.400,1,1335,642,1382,682,43f196cb,0.9071,52.22,-15.80,53.80,-16.20,0,1,3.389
35,1.400,2,26,591,88,645,UNKNOWN,0.3221,-8.65,-16.04,-8.50,-16.40,1,0,0.000
36,1.440,0,1002,569,1055,611,AVA,0.9797,53.76,-2.36,53.40,0.40,0,1,3.489
36,1.440,1,1336,642,1382,682,43f196cb,0.9002,52.52,-17.81,53.30,-16.80,0,1,3.489
36,1.440,2,26,591,88,645,UNKNOWN,0.3154,-8.64,-16.11,-8.60,-16.30,1,0,0.000
37,1.480,0,999,568,1059,613,AVA,0.9868,53.12,-3.14,53.30,-0.80,0,1,3.595
37,1.480,1,1336,642,1382,682,43f196cb,0.9166,52.90,-17.10,53.20,-16.90,0,1,3.595
37,1.480,2,26,591,88,645,UNKNOWN,0.2868,-7.76,-18.18,-8.30,-16.90,1,0,0.000
38,1.520,0,1001,568,1060,613,AVA,0.9861,49.39,6.74,51.90,1.80,0,1,3.689
38,1.520,1,1336,642,1382,682,43f196cb,0.9173,53.74,-17.17,53.40,-17.00,0,1,3.689
38,1.520,2,26,591,88,645,UNKNOWN,0.3050,-7.85,-18.12,-8.10,-17.40,1,0,0.000
39,1.560,0,1001,568,1059,613,AVA,0.9840,47.30,3.92,50.30,2.60,0,1,3.782
39,1.560,1,1336,642,1382,682,43f196cb,0.9177,52.36,-16.89,53.00,-16.90,0,1,3.782
39,1.560,2,26,591,88,645,UNKNOWN,0.2895,-7.64,-18.42,-8.00,-17.70,1,0,0.000
40,1.599,0,1000,568,1060,613,AVA,0.9929,49.20,1.25,49.90,2.10,0,1,3.878
40,1.599,1,1336,642,1382,682,43f196cb,0.9085,51.93,-15.25,52.60,-16.40,0,1,3.878
40,1.599,2,26,591,88,645,UNKNOWN,0.3040,-9.42,-17.48,-8.50,-17.60,1,0,0.000
41,1.639,0,1001,568,1059,613,AVA,0.9912,45.85,3.52,48.50,2.60,0,1,3.973
41,1.639,1,1336,642,1382,682,43f196cb,0.9124,50.66,-15.60,51.90,-16.10,0,1,3.973
41,1.639,2,26,591,88,645,UNKNOWN,0.2924,-8.91,-17.18,-8.60,-17.50,1,0,0.000
42,1.679,0,1001,568,1059,613,AVA,0.9920,46.95,4.04,48.00,3.10,0,1,4.070
42,1.679,1,1336,642,1382,682,43f196cb,0.9080,50.12,-14.28,51.30,-15.50,0,1,4.070
42,1.679,2,26,591,88,645,UNKNOWN,0.2890,-7.53,-16.17,-8.20,-17.00,1,0,0.000
43,1.719,0,1002,568,1060,613,AVA,0.9939,48.34,9.33,48.10,5.30,0,1,4.169
43,1.719,1,1336,642,1382,682,43f196cb,0.9189,50.40,-14.72,51.00,-15.20,0,1,4.169
43,1.719,2,25,591,87,645,UNKNOWN,0.2621,-14.72,-23.40,-10.50,-19.30,0,0,0.000
44,1.759,0,1001,568,1060,613,AVA,0.9927,46.20,2.75,47.40,4.40,0,1,4.265
44,1.759,1,1336,642,1382,682,43f196cb,0.9127,49.50,-13.74,50.50,-14.70,0,1,4.265
44,1.759,2,26,591,88,645,UNKNOWN,0.2474,-5.32,-18.19,-8.70,-18.90,0,0,0.096
45,1.799,0,1001,568,1061,616,AVA,0.9916,46.03,-7.78,46.90,0.10,0,1,4.361
45,1.799,1,1335,642,1382,682,43f196cb,0.9149,47.28,-14.05,49.40,-14.50,0,1,4.361
45,1.799,2,26,591,88,645,UNKNOWN,0.2630,-5.83,-17.28,-7.70,-18.30,0,0,0.192
46,1.839,0,1001,568,1061,616,AVA,0.9936,46.59,-8.38,46.80,-2.80,0,1,4.454
46,1.839,1,1336,642,1382,682,43f196cb,0.9208,49.24,-14.21,49.30,-14.40,0,1,4.454
46,1.839,2,26,591,88,645,UNKNOWN,0.2568,-5.67,-17.11,-7.00,-17.90,1,0,0.000
47,1.879,0,1000,568,1061,616,AVA,0.9918,47.17,-6.50,46.90,-4.10,0,1,4.553
47,1.879,1,1335,642,1382,682,43f196cb,0.9163,46.91,-14.13,48.50,-14.30,0,1,4.553
47,1.879,2,26,591,88,645,UNKNOWN,0.2615,-6.77,-17.29,-6.90,-17.70,1,0,0.000
48,1.919,0,1001,569,1061,616,AVA,0.9921,42.46,1.41,45.40,-2.20,0,1,4.647
48,1.919,1,1335,641,1382,682,43f196cb,0.9142,38.68,-11.28,45.00,-13.20,0,1,4.647
48,1.919,2,26,591,88,645,UNKNOWN,0.2370,-7.85,-17.92,-7.20,-17.80,1,0,0.000
49,1.959,0,1000,568,1061,616,AVA,0.9932,47.87,-5.57,46.20,-3.40,0,1,4.745
49,1.959,1,1336,642,1382,682,43f196cb,0.9122,49.12,-14.74,46.50,-13.80,0,1,4.745
49,1.959,2,26,591,88,645,UNKNOWN,0.2406,-7.61,-18.90,-7.40,-18.20,0,0,0.000
50,1.999,0,1000,568,1061,616,AVA,0.9888,48.71,-2.34,47.10,-3.00,0,1,4.841
50,1.999,1,1336,641,1382,682,43f196cb,0.9313,44.68,-13.02,45.80,-13.50,0,1,4.841
50,1.999,2,27,591,89,646,UNKNOWN,0.2508,16.27,-15.44,0.90,-17.20,1,0,0.000
51,2.039,0,1002,569,1061,616,AVA,0.9899,47.89,-2.23,47.40,-2.70,0,1,4.936
51,2.039,1,1336,642,1382,682,43f196cb,0.9381,47.57,-17.58,46.40,-14.90,0,1,4.936
51,2.039,2,27,591,89,646,UNKNOWN,0.2630,16.07,-14.96,6.20,-16.40,1,0,0.000
52,2.079,0,1000,568,1061,616,AVA,0.9891,49.17,-1.74,48.00,-2.40,0,1,5.030
52,2.079,1,1336,641,1382,682,43f196cb,0.9349,46.98,-11.30,46.60,-13.70,0,1,5.030
52,2.079,2,27,591,89,646,UNKNOWN,0.2514,14.89,-14.24,9.20,-15.70,1,0,0.000
53,2.119,0,1001,569,1061,616,AVA,0.9905,46.34,-2.46,47.40,-2.40,0,1,5.125
53,2.119,1,1336,641,1382,682,43f196cb,0.9346,46.98,-11.30,46.80,-12.80,0,1,5.125
53,2.119,2,27,591,89,646,UNKNOWN,0.2651,13.12,-14.35,10.60,-15.20,1,0,0.000
54,2.159,0,1000,569,1060,616,AVA,0.9858,45.85,-4.47,46.90,-3.10,0,1,5.217
54,2.159,1,1336,641,1382,682,43f196cb,0.9344,45.98,-11.37,46.50,-12.30,0,1,5.217
54,2.159,2,27,591,89,645,UNKNOWN,0.2585,8.64,-12.59,9.90,-14.30,1,0,0.000
55,2.199,0,1000,569,1060,616,AVA,0.9809,46.49,-5.67,46.70,-4.00,0,1,5.314
55,2.199,1,1336,641,1382,682,43f196cb,0.9342,45.92,-10.88,46.30,-11.80,0,1,5.314
55,2.199,2,27,591,89,645,UNKNOWN,0.2686,8.63,-12.85,9.50,-13.80,1,0,0.000
56,2.239,0,1001,569,1061,616,AVA,0.9767,45.19,-5.06,46.20,-4.40,0,1,5.408
56,2.239,1,1336,641,1382,682,43f196cb,0.9336,45.87,-10.92,46.10,-11.50,0,1,5.408
56,2.239,2,27,591,89,645,UNKNOWN,0.2814,7.87,-13.64,8.90,-13.70,1,0,0.000
57,2.279,0,999,568,1060,616,AVA,0.9818,45.39,-6.03,45.90,-5.00,0,1,5.499
57,2.279,1,1336,642,1382,682,43f196cb,0.9227,48.59,-18.26,47.00,-13.90,0,1,5.499
57,2.279,2,27,591,89,645,UNKNOWN,0.3032,8.17,-14.17,8.60,-13.90,1,0,0.000
58,2.319,0,1000,569,1061,616,AVA,0.9857,46.02,-6.40,46.00,-5.50,0,1,5.600
58,2.319,1,1336,642,1382,682,43f196cb,0.9252,48.58,-18.25,47.60,-15.40,0,1,5.600
58,2.319,2,27,591,89,645,UNKNOWN,0.2855,7.47,-14.20,8.20,-14.00,1,0,0.000
59,2.359,0,1000,569,1061,616,AVA,0.9790,45.37,-3.32,45.70,-4.70,0,1,5.691
59,2.359,1,1336,642,1382,682,43f196cb,0.9161,48.55,-18.37,47.90,-16.40,0,1,5.691
59,2.359,2,27,591,89,645,UNKNOWN,0.2999,9.22,-13.21,8.60,-13.70,1,0,0.000
60,2.399,0,999,569,1060,616,AVA,0.9822,42.28,-4.86,44.50,-4.80,0,1,5.791
60,2.399,1,1336,642,1382,682,43f196cb,0.9171,49.18,-18.36,48.40,-17.10,0,1,5.791
60,2.399,2,27,591,89,645,UNKNOWN,0.2748,8.20,-10.93,8.40,-12.70,1,0,0.000
61,2.439,0,1001,569,1061,616,AVA,0.9847,42.68,-4.72,43.90,-4.70,0,1,5.890
61,2.439,1,1336,642,1382,682,43f196cb,0.9175,48.73,-18.42,48.50,-17.60,0,1,5.890
61,2.439,2,27,591,89,645,UNKNOWN,0.2287,13.81,-9.79,10.30,-11.70,1,0,0.000
62,2.479,0,1000,569,1060,617,AVA,0.9855,44.09,-6.02,44.00,-5.20,0,1,5.983
62,2.479,1,1336,642,1382,682,43f196cb,0.9099,50.29,-16.63,49.10,-17.20,0,1,5.983
62,2.479,2,27,591,89,645,UNKNOWN,0.2827,11.09,-11.77,10.60,-11.70,1,0,0.000
63,2.519,0,1000,569,1061,617,AVA,0.9853,44.64,-2.60,44.20,-4.30,0,1,6.078
63,2.519,1,1336,641,1382,682,43f196cb,0.9138,42.75,-12.96,46.90,-15.70,0,1,6.078
63,2.519,2,27,591,89,645,UNKNOWN,0.2325,11.22,-12.56,10.80,-12.00,1,0,0.000
64,2.559,0,1000,569,1060,617,AVA,0.9859,44.43,-4.71,44.30,-4.40,0,1,6.171
64,2.559,1,1336,642,1382,682,43f196cb,0.9168,49.99,-16.95,48.00,-16.20,0,1,6.171
64,2.559,2,27,591,88,645,UNKNOWN,0.2378,-2.72,-17.20,6.10,-13.80,1,0,0.000
65,2.599,0,999,569,1060,617,AVA,0.9860,42.20,-9.08,43.50,-6.10,0,1,6.268
65,2.599,1,1336,642,1382,682,43f196cb,0.9190,50.08,-16.86,48.70,-16.40,0,1,6.268
65,2.599,2,26,591,87,645,UNKNOWN,0.2526,-1.58,-13.89,3.40,-13.90,1,0,0.000
66,2.639,0,1000,569,1061,617,AVA,0.9872,45.78,-7.07,44.30,-6.40,0,1,6.365
66,2.639,1,1336,642,1382,682,43f196cb,0.9199,48.84,-16.76,48.80,-16.50,0,1,6.365
66,2.639,2,26,591,87,645,UNKNOWN,0.2408,1.01,-14.49,2.60,-14.10,1,0,0.000
67,2.679,0,999,569,1060,617,AVA,0.9846,45.37,-8.55,44.70,-7.20,0,1,6.457
67,2.679,1,1336,642,1382,682,43f196cb,0.9183,48.85,-16.94,48.80,-16.70,0,1,6.457
67,2.679,2,26,591,87,645,UNKNOWN,0.2451,-0.69,-14.38,1.40,-14.20,1,0,0.000
68,2.719,0,1000,570,1060,617,AVA,0.9887,49.91,-14.27,46.50,-9.60,0,1,6.555
68,2.719,1,1336,642,1382,682,43f196cb,0.9157,48.82,-16.94,48.80,-16.80,0,1,6.555
68,2.719,2,26,591,88,645,UNKNOWN,0.2488,2.99,-16.90,2.00,-15.10,1,0,0.000
69,2.759,0,1000,570,1060,617,AVA,0.9855,49.53,-14.67,47.60,-11.40,0,1,6.648
69,2.759,1,1336,642,1382,682,43f196cb,0.9159,48.82,-16.94,48.80,-16.80,0,1,6.648
69,2.759,2,26,591,87,645,UNKNOWN,0.2463,-2.30,-15.75,0.50,-15.30,1,0,0.000
70,2.799,0,999,569,1060,617,AVA,0.9860,51.61,-15.06,49.00,-12.70,0,1,6.741
70,2.799,1,1336,642,1382,682,43f196cb,0.9125,48.84,-16.98,48.80,-16.90,0,1,6.741
70,2.799,2,26,592,88,645,UNKNOWN,0.2551,4.53,-17.91,1.90,-16.20,1,0,0.000
71,2.839,0,1000,570,1060,617,AVA,0.9863,48.55,-11.82,48.80,-12.40,0,1,6.836
71,2.839,1,1336,642,1382,682,43f196cb,0.9154,49.44,-16.99,49.00,-16.90,0,1,6.836
71,2.839,2,26,592,88,645,UNKNOWN,0.2568,4.25,-17.97,2.70,-16.90,1,0,0.000
72,2.879,0,999,570,1059,616,AVA,0.9858,49.95,-13.46,49.20,-12.80,0,1,6.928
72,2.879,1,1336,642,1382,682,43f196cb,0.9121,48.69,-17.20,48.90,-17.00,0,1,6.928
72,2.879,2,26,592,88,645,UNKNOWN,0.2498,3.67,-17.99,3.00,-17.20,1,0,0.000
73,2.919,0,1000,570,1059,616,AVA,0.9864,46.76,-9.52,48.40,-11.60,0,1,7.026
73,2.919,1,1336,642,1382,682,43f196cb,0.9066,48.02,-16.24,48.60,-16.70,0,1,7.026
73,2.919,2,26,592,88,645,UNKNOWN,0.2799,0.33,-18.24,2.10,-17.60,1,0,0.000
74,2.959,0,1000,570,1059,616,AVA,0.9855,45.65,-7.78,47.40,-10.30,0,1,7.122
74,2.959,1,1336,642,1382,682,43f196cb,0.9048,47.84,-16.12,48.30,-16.50,0,1,7.122
